A,B
20,0.677077836602165
25,0.362314476513854
30,0.165963403307145
35,0.476583111297697
40,0.103997391344664
45,0.466749273166583
50,0.888405193130866
55,0.843952914924848
60,0.240838160931886
65,0.0932313341403736
70,0.801188885585333
75,0.0337329799852964
80,0.945438931696621
85,0.103321649645676
90,0.0515196849467399
95,0.416881260347282
100,0.405541230700712
105,0.978745357862458
110,0.373794067730851
115,0.44118932661841
120,0.975642244623388
125,0.493992877279692
130,0.759441955854601
135,0.07799879937235
140,0.841676265235347
145,0.129240355316354
150,0.742962479831553
155,0.94233208106211
160,0.380184902947709
165,0.33196990829828
170,0.0834208414940183
175,0.340666147067957
180,0.939147669792887
185,0.119828512802934
190,0.345194943258834
195,0.830382931597153
200,0.379185071071863
205,0.95058474395663
210,0.724165440262553
215,0.459451503855102
220,0.63580590356231
225,0.666725907411784
230,0.771438383227465
235,0.379040391784794
240,0.264643445764982
245,0.850384651136053
250,0.370530927259471
255,0.325416322077714
260,0.758698640563744
265,0.576522952109864
270,0.330679834090174
275,0.937385309271144
280,0.559597613678932
285,0.107000988838963
290,0.991374272358326
295,0.717211405823206
300,0.589755886686936
305,0.341855274695125
310,0.566283507927158
315,0.0095549254746766
320,0.979114873160003
325,0.0279112389484964
330,0.293776645202097
335,0.863462792225858
340,0.0894974183524391
345,0.715375988863875
350,0.0474760310952965
355,0.506381707118893
360,0.0647879532942992
365,0.43485581527449
370,0.0948679152924012
375,0.589976555755245
380,0.692888873760471
385,0.13632356171602
390,0.235191506050119
395,0.366557634393354
400,0.828780464828201
405,0.156584202728694
410,0.279119498544552
415,0.570360106016272
420,0.0318697605023851
425,0.239920868105249
430,0.06620672078463
435,0.253853348538262
440,0.878250401317213
445,0.226745569753012
450,0.0983919300240914
455,0.935631063967124
460,0.354365971848906
465,0.7147100276992
470,0.87819561093287
475,0.816292774503285
480,0.731806811427183
485,0.455144664680074
490,0.339696418463246
495,0.475456185929787
500,0.00538944528307948
505,0.12841583535618
510,0.0936959205905065
515,0.873154821297802
520,0.111117572020935
